Gene	uvb1_S1	uvb2_S2	uvb3_S3	uvb4_S4	clone2a_S5	clone2b_S6	clone2c_S7	clone2d_S8
GM20881	0	0	0	0	0	0	0	0
AC164295.1	0	0	0	0	0	0	0	0
GM45031	0	0	0	0	0	0	0	0
GM13325	0	0	0	0	0	0	0	0
GM29668	0	0	0	0	0	0	0	0
GM18181	0	0	0	0	0	0	0	0
GM12469	0	0	0	0	0	0	0	0
GM18225	0	0	0	0	0	0	0	0
AC112943.1	0	0	0	0	0	0	0	0
4930431F10RIK	0	0	0	0	0	0	0	0
GM48848	0	0	0	0	0	0	0	0
GM8677	0	0	0	0	0	0	0	0
GM20379	0	0	0	0	0	0	0	0
GM37419	0	0	0	0	0	0	0	0
TLX1OS	0	0	0	0	0	0	0	0
GM15490	0	0	0	0	0	0	0	0
GM13081	0	0	0	0	0	0	0	0
GM14263	0	0	0	0	0	0	0	0
AC122372.1	0	0	0	0	0	0	0	0
GM13009	0	0	0	0	0	0	0	0
GM29170	0	0	0	0	0	0	0	0
GM28948	0	0	0	0	0	0	0	0
GM29186	0	0	0	0	0	0	0	0
GM18128	0	0	0	0	0	0	0	0
GM7405	0	0	0	0	0	0	0	0
MIR6902	0	0	0	0	0	0	0	0
GM9726	0	0	0	0	0	0	0	0
GM37583	0	0	0	0	0	0	0	0
4921511E07RIK	0	0	0	0	0	0	0	0
GM14373	0	0	0	0	0	0	0	0
GM47196	0	0	0	0	0	0	0	0
D330025C20RIK	0	0	0	0	0	0	0	0
GM28614	0	0	0	0	0	0	0	0
GM8384	0	0	0	0	0	0	0	0
GM28385	0	0	0	0	0	0	0	0
GM38194	0	0	0	0	0	0	0	0
GM45045	0	0	0	0	0	0	0	0
GM28386	0	0	0	0	0	0	0	0
AC123873.1	0	0	0	0	0	0	0	0
GM37468	0	0	0	0	0	0	0	0
AL604044.1	0	0	0	0	0	0	0	0
GM28269	0	0	0	0	0	0	0	0
GM37889	0	0	0	0	0	0	0	0
GM12151	0	0	0	0	0	0	0	0
GM29560	0	0	0	0	0	0	0	0
GM33785	0	0	0	0	0	0	0	0
GM19987	0	0	0	0	0	0	0	0
GM14990	0	0	0	0	0	0	0	0
SCGB2B30	0	0	0	0	0	0	0	0
VMN2R-PS41	0	0	0	0	0	0	0	0
GM25700	0	0	0	0	0	0	0	0
GM28474	0	0	0	0	0	0	0	0
GM10307	0	0	0	0	0	0	0	0
GM28934	0	0	0	0	0	0	0	0
GM29019	0	0	0	0	0	0	0	0
GM14740	0	0	0	0	0	0	0	0
1700030O20RIK	0	0	0	0	0	0	0	0
AC127242.2	0	0	0	0	0	0	0	0
4930554G24RIK	0	0	0	0	0	0	0	0
GM45875	0	0	0	0	0	0	0	0
SCGB1B1-PS	0	0	0	0	0	0	0	0
GM5388	0	0	0	0	0	0	0	0
GM14531	0	0	0	0	0	0	0	0
6030407O03RIK	0	0	0	0	0	0	0	0
GM6591	0	0	0	0	0	0	0	0
GM3953	0	0	0	0	0	0	0	0
GM15160	0	0	0	0	0	0	0	0
GM29442	0	0	0	0	0	0	0	0
GM15198	9.00673	9.159	6.66358	9.9903	12.5138	0	13.8374	23.0236
GM11421	0	0	0	0	0	0	0	0
GM12986	0	0	0	0	0	0	0	0
GM15808	0	0	0	0	0	0	0	0
4833445I07RIK	0	0	0	0	0	0	0	0
GM6067	0	0	0	0	0	0	0	0
MEX3A	0	0	0	0	0	0	0	0
GM18294	0	0	0	0	0	0	0	0
GM3687	0	0	0	0	0	0	0	0
GM28325	0	0	0	0	0	0	0	0
AC154808.1	0	0	0	0	0	0	0	0.0544319
GM38036	0	0	0	0	0	0	0	0
OLFR831-PS1	0	0	0	0	0	0	0	0
GM7957	0	0	0	0	0	0	0	0
GM12890	0	0	0	0	0	0	0	0
GM28164	0	0	0	0	0	0	0	0
GM7933	0	0	0	0	0	0	0	0
GM6170	0	0	0	0	0	0	0	0
GM10292	0	0	0	0	0	0	0	0
CAPNS2	0	0	0	0	0	0	0	0
GM29289	0	0	0	0	0	0	0	0
GM47453	0	0	0	0	0	0	0	0
GM29233	0	0	0	0	0	0	0	0
GM19560	0	0	0	0	0	0	0	0
GM8392	0	0	0	0	0	0	0	0
GM29687	0	0	0	0	0	0	0	0
GM11879	0	0	0	0	0	0	0	0
FTH-PS3	0	0	0	0	0	0	0	0
RPS27A-PS1	0	0	0	0	0	0	0	0
GM28932	0	0	0	0	0	0	0	0
GM21673	0	0	0	0	0	0	0	0
MUT	0	0	0	0	0	0	0	0
RPL18-PS2	0	0	0	0	0	0	0	0
CD9-PS	0	0	0	0	0	0	0	0
GM38384	0	0	0	0	0	0	0	0
C030007H22RIK	0	0	0	0	0	0	0	0
GM14780	0	0	0	0	0	0	0	0
GM36380	0	0	0	0	0	0	0	0
GM29600	0	0	0	0	0	0	0	0
4930425L21RIK	0	0	0	0	0	0	0	0
GM35615	0	0	0	0	0	0	0	0
GM15602	0	0	0	0	0	0	0	0
GM28630	0	0	0	0	0	0	0	0
9330178D15RIK	0	0	0	0	0	0	0	0
GM44238	0	0	0	0	0	0	0	0
GM13463	0	0	0	0	0	0	0	0
AC154636.1	0	0	0	0	0	0	0	0
BEX4	0	0	0	0	0	0	0	0
GM28152	0	0	0	0	0	0	0	0
GM44078	0	0	0	0	0	0	0	0
GM21810	0	0	0	0	0	0	0	0
GM44389	0	0	0	0	0	0	0	0
GM39168	0	0	0	0	0	0	0	0
4933435G04RIK	0	0	0	0	0	0	0	0
GM19589	0	0	0	0	0	0	0	0
GM11809	0	0	0	0	0	0	0	0
2010110G14RIK	0	0	0	0	0	0	0	0
GM45667	0	0	0	0	0	0	0	0
GM45440	0	0	0	0	0	0	0	0
RPS27-PS1	0	0	0	0	0	0	0	0
GM28511	0	0	0	0	0	0	0	0
CRB1-PS	0	0	0	0	0	0	0	0
GM16302	0	0	0	0	0	0	0	0
GM19409	0	0	0	0	0	0	0	0
GM5554	0	0	0	0	0	0	0	0
GM21076	0	0	0	0	0	0	0	0
GM21823	41.3788	0	0	4.56902	0	0	0	0
E330011M16RIK	0	0	0	0	0	0	0	0
GM11662	0	0	0	0	0	0	0	0
GM12073	0	0	0.0248639	0	0	0	0	0
GM15022	0	0	0	0	0	0	0	0
GM12788	0	0	0	0	0	0	0	0
1700025A08RIK	0	0	0	0	0	0	0	0
GM44658	0	0	0	0	0	0	0	0
GM3089	0	0	0	0	0	0	0	0
MINPP1-PS	0	0	0	0	0	0	0	0
GM45885	0	0	0	0	0	0	0	0
GM14945	0	0	0	0	0	0	0	0
GM14140	0	0	0	0	0	0	0	0
GM13578	0	0	0	0	0	0	0	0
AL929555.1	0	0	0	0	0	0	0	0
1700064H15RIK	0	0	0	0	0	0	0	0
GM11686	0	0	0	0	0	0	0	0
GM9051	0	0	0	0	0	0	0	0
9930024M15RIK	0	0	0	0	0	0	0	0
GM12607	0	0	0	0	0	0	0	0
GM14892	0	0	0	0	0	0	0	0
GM11338	0	0	0	0	0.144481	0	0	1.33849
ODAPH	0	0	0	0	0	0	0	0
MIR6398	28.8087	48.8055	46.7331	45.7021	40.0969	23.6126	32.6707	41.9984
GM11759	0	0	0	0	0	0	0	0
RF00026	0	0	0	0	0	0	0	0
GM15010	144.142	0	0	0	0	0	0	0
OLFR300-PS1	0	0	0	0	0	0	0	0
GM14877	0	0	0	0	0	0	0	0
GM15188	0	0	0	0	0	0	0	0
GM14564	0	0	0	0	0	0	0	0
GM13024	0	0	0	0	0.0545045	0	0	2.40638
GM12370	1.33149e-08	0	0	0	0	0	0	7.06518e-09
GM15794	0	0	0	0	0	0	0	0
GM14627	0	0	0	0	0	0	0	0
GM11454	0	0	0	0	0	0	0	0
GM15106	0	0	0	0	0	0	0	0
GM15730	0	0	0	0	0	0	0	0
GM14613	0	0	0	0	0	0	0	0
GM14439	0	0	0	0	0	0	0	0
GM14115	0	34.7187	2.25745	4.85455	0	0	0.210256	3.55226
1700024B18RIK	0	0	0	0	0	0	0	0
GM14383	0	0	0	0	0	0	0	0
GM15929	0	0	0	0	0	0	0	0
GM2005	0	0	0	0	0	0	0	0
GM7278	0	0	0	0.440426	0	0	0	0
VMN1R-PS102	0	0	0	0	0	0	0	0
GM17662	0	0	0	0	0	0	0	0
GM29401	0	0	0	0	0	0	0	0
GM47166	0	0	0	0	0	0	0	0
GM12677	0	0	0	0	0	0	0	0
GM1826	0	0	0	0	0	0	0	0
GM36640	0	0	0	0	0	0	0	0
GM5698	0	0	0	0	0	0	0	0
GM8624	0	0	0	0	0	0	0	0
GM20454	0	0	0	0	0	0	0	0
GM8685	0	0	0	0	0	0	0	0
GM28866	0	0	0	0	0	0	0	0
GM28803	0	0	0	0	0	0	0	0
GM28731	0	0	0	0	0	0	0	0
GM13501	0	0	0	0	0	0	0	0
GM37370	0	0	0	0	0	0	0	0
GM12416	0.194932	0	0.898822	12.8287	0	11.7642	8.73443	8.02012
GM12482	0	0	0	0	0	0	0	0
1700030M09RIK	0	0	0	0	0	0	0	0
GM37747	0	0	0	0	0	0	0	0
GM38073	0	0	0	0	0	0	0	0
GM28213	0	0	0	0	0	0	0	0
CYP4A28-PS	0	0	0	0	0	0	0	0
GM48130	0	0	0	0	0	0	0	0
GM29222	0	0	0	0	0	0	0	0
VMN1R-PS95	0	0	0	0	0	0	0	0
GM38265	0	0	0	0	0	0	0	0
GM4856	0	0	0	0	0	0	0	0
GM37834	0	0	0	0	0	0	0	0
GM16399	0	0	0	0	0	0	0	0
GM15329	0	0	0	0	0	0	0	0
GM11446	0	0	0	0	0	0	0	0
GM14294	0	0	0	0	0	0	0	0
GM29655	0	0	0	0	0	0	0	0
GM21152	0	0	0	0	0	0	0	0
1700054A03RIK	0	0	0	0	0	0	0	0
GM14044	0	0	0	0	0	0	0	0
GM14940	0	0	0	0	0	0	0	0
GM29143	0	0	0	0	0	0	0	0
GM11971	0	0	0	0	0	0	0	0
GM15793	0	0	0	0	0	0	0	0
GM29395	0	0	0	0	0	0	0	0
GM12366	0	0	0	0	0	0	0	0
GM6028	0	0	0	0	0	0	0	0
GM28369	0	0	0	0	0	0	0	0
GM29520	0	0	0	0	0	0	0	0
GM37545	0	0	0	0	0	0	0	0
GM13739	0	0	0	0	0	0	0	0
GM20891	0	0	0	0	0	0	0	0
GM11841	0	0	0	0	0	0	0	0
GM29572	0	0	0	0	0	0	0	0
9930111H07RIK	0	0	0	0	0	0	0	0
GM15297	0	0	0	0	0	0	0	0
GM19114	0	0	0	0	0	0	0	0
GM33201	0	0	0	0	0	0	0	0
OLFR383-PS1	0	0	0	0	0	0	0	0
GM11322	0	0	0	0	0	0	0	0
LIPO1	0	0	0	0	0	0	0	0
AC139758.1	0	0	0.0995642	0	0	0	2.05305	0
VMN1R-PS23	0	0	0	0	0	0	0	0
GM15696	0	0	0	0	0	0	0	0
AC104200.1	0	0	0	0	0	0	0	0
TOPBP1-PS2	0	0	0	0	0	0	0	0
GM13915	0	0	0	0	0	0	0	0
GM16480	0	0	0	0	0	0	0	0
GM15311	0	0	0	0	0	0	0	0
GM13511	0	0	0	0	0	0	0	0
GM12779	0	0	0	0	0	0	0	0
GM8524	0	0	0	0	0	0	0	0
GM14119	0	0	0	0	0	0	0	0
GM20914	0	0	0	0	0	0	0	0
GM8097	0	0	0	0	0	0	0	0
CCND3-PS	0	0	0	0	0	0	0	0
GM15697	0	0	0	0	0	0	0	0
GM28514	0	0	0	0	0	0	0	0
GM8908	0	0	0	0	0	0	0	0
GM28414	0	0	0	0	0	0	0	0
OLFR484	0	0	0	0	0	0	0	0
GM29041	0	0	0	0	0	0	0	0
GM29502	0	0	0	0	0	0	0	0
GM41002	0	0	0	0	0	0	0	0
NNT	0	0	0	0	0	0	0	0
GM14925	0	0	0	0	0	0	0	0
GM29071	0	0	0	0	0	0	0	0
GM28435	0	0	0	0	0	0	0	0
GM28117	0	0	0	0	0	0	0	0
GM2098	0	0	0	0	0	0	0	0
GM48035	0	0	0	0	0	0	0	0
GM28449	0	0	0	0	0	0	0	0
GM22395	0	0	0	0	0	0	0	0
GM29666	0	0	0	0	0	0	0	0
4930452N14RIK	0	0	0	0	0	0	0	0
IGHD2-7	0	0	0	0	0	0	0	0
GM29145	0	0	0	0	0	0	0	0
VMN1R-PS111	0	0	0	0	0	0	0	0
SCGB2B31-PS	0	0	0	0	0	0	0	0
GM20703	0	0	0	0	0	0	0	0
GM15815	0	0	0	0	0	0	0	0
GM11993	0	0	0	0	0	0	0	0
GM47220	0	0	0	0	0	0	0	0
GM14650	0	0	0	0	0	0	0	0
GM7858	0	0	0	0	0	0	0	0
GM29137	0	0	0	0	0	0	0	0
GM14937	0	0	0	0	0	0	0	0
GM21943	0	0	0	0	0	0	0	0
GM29443	0	0	0	0	0	0	0	0
GM5763	0	0	0	0	0	0	0	0
GM12635	0	0	0	0	0	0	0	0
GM5926	0	0	0	0	0	0	0	0
GM13549	44.5585	47.513	15.3163	3.97581	27.9785	6.74508	21.0905	14.2462
GM48756	0	0	0	0	0	0	0	0
SCGB1B10	0	0	0	0	0	0	0	0
GM14567	0	0	0	0	0	0	0	0
CCL19-PS3	0	0	0	0	0	0	0	0
GM37832	0	0	0	0	0	0	0	0
GM13379	0	0	0	0	0	0	0	0
GM28634	0	0	0	0	0	0	0	0
GM27852	20.2505	71.9029	24.2164	6.77813	17.9452	0	30.1467	45.2651
GM28788	0	0	0	0	0	0	0	0
GM21756	0	0	0	0	0	0	0	0
VMN1R-PS97	0	0	0	0	0	0	0	7.91236
GM20932	0	0	0	0	0	0	0	0
GM23963	0	0	0	0	0	0	0	0
GM23450	0	0	0	0	0	0	0	0
GM13132	0	0	0	0	0	0	0	0
GM21902	0	0	0	0	0	0	0	0
GM25471	0	0	0	0	0	0	0	0
GM24657	0	0	0	0	0	0	0	0
GM15693	0	0	0	0	0	0	0	0
RANBP2-PS8	0	0	0	0	0	0	0	0
GM20268	0	0	0	0	0	0	0	0
GM28830	0	0	0	0	0	0	0	0
GM29306	0	0	0	0	0	0	0	0
GM43474	0	0	0	0	0	0	0	0
N-R5S120	0	0	0	0	0	0	0	0
GM29201	0	0	0	0	0	0	0	0
GM20811	0	0	0	0	0	0	0	0
GM29108	0	0	0	0	0	0	0	0
GM29033	0	0	0	0	0	0	0	0
GM20902	0	0	0	0	0	0	0	0
GM29297	0	0	0	0	0	0	0	0
2610105M22RIK	0	0	0	0	0	0	0	0
GM28700	0	0	0	0	0	0	0	0
GM27980	0	0	0	0	0	0	0	0
OBOX3-PS2	0	0	0	0	0	0	0	0
GM5746	0	0	0	0	0	0	0	0
MIR6349	0	0	0	0	0	0	0	0
GM9044	0	0	0	0	0	0	0	0
GM7631	0	0	0	0	0	0	0	0
GM19637	0	0	0	0	0	0	0	0
GM7776	0	0	0	0	0	0	0	0
1700101O22RIK	0	0	0	0	0	0	0	0
GM29319	0	0	0	0	0	0	0	0
GM28689	0	0	0	0	0	0	0	0
GM37768	0	0	0	0	0	0	0	0
1700025B11RIK	0	0	0	0	0	0	0	0
GM37746	0	0	0	0	0	0	0	0
GM29267	0	0	0	0	0	0	0	0
GM29308	0	0	0	0	0	0	0	0
GM18665	0	0	0	0	0	0	0	0
GM12190	0	0	0	0	0	0	0	0
MIR7005	0	0	0	0	0	0	0	0
RF00181	0	0	0	0	0	0	0	0
GM28141	0	0	0	0	0	0	0	0
GM29413	0	0	0	0	0	0	0	0
GM38101	0	0	0	0	0	0	0	0
GM38210	0	0	0	0	0	0	0	0
GM37849	0	0	0	0	0	0	0	0
MIR5617	0	0	0	0	0	0	0	0
GM28330	0	0	0	0	0	0	0	0
GM45246	0	0	0	0	0	0	0	0
9430034N14RIK	0	0	0	0	0	0	0	0
GM44869	0	0	0	0	0	0	0	0
GM14794	0	0	0	0	0	0	0	0
GM9443	0	0	0	0	0	0	0	0
SULT2A-PS3	0	0	0	0	0	0	0	0
GM14380	0	0	0	0	0	0	0	0
GM21497	0	0	0	0	0	0	0	0
GM37110	0	0	0	0	0	0	0	0
GM37280	0	0	0	0	0	0	0	0
GM20912	0	0	0	0	0	0	0	0
GM45828	0	0	0	0	0	0	0	0
1700030C10RIK	0	0	0	0	0	0	0	0
RBM3-PS	0	0	0	0	0	0	0	0
SMT3H1-PS	0	0	0	0	0	0	0	0
GM38272	0	0	0	0	0	0	0	0
GM44760	0	0	0	0	0	0	0	0
GM11905	0	0	0	0	0	0	0	0
AC157610.1	0	0	0	0	0	0	0	0
GM28088	0	0	0	0	0	0	0	0
GM28720	0	0	0	0	0	0	0	0
GM6141	0	0	0	0	0	0	0	0
OLFR1453	0	0	0	0	0	0	0	0
A330087D11RIK	0	0	0	0	0	0	0	0
GM18798	0	0	0	0	0	0	0	0
GM38584	0	0	0	0	0	0	0	0
GM44669	0	0	0	0	0	0	0	0
GM28690	0	0	0	0	0	0	0	0
GM12948	0	0	0	0	0	0	0	0
GM3985	0	0	0	0	0	0	0	0
GM28072	0	0	0	0	0	0	0	0
SCGB2B22-PS	0	0	0	0	0	0	0	0
GM13493	0	0	0	0	0	0	0	0
VMN1R-PS26	0	0	0	0	0	0	0	0
GM20495	0	0	0	0	0	0	0	0
GM29512	0	0	0	0	0	0	0	0
GM8750	0	0	0	0	0	0	0	0
E330018M18RIK	0	0	0	0	0	0	0	0
MIR7235	0	0	0	0	0	0	0	0
GM14678	0	0	0	0	0	0	0	0
GM4287	0	0	0	0	0	0	0	0
4933430L12RIK	0	0	0	0	0	0	0	0
GM37954	0	0	0	0	0	0	0	0
CBX3-PS3	0	0	0	0	0	0	0	0
GM21905	0	0	0	0	0	0	0	0
GM24761	0	0	0	0	0	0	0	0
GM21588	0	0	0	0	0	0	0	0
GM14823	0	0	0	0	0	0	0	0
GM6909	0	0	0	0	0	0	0	0
GM8241	0	0	0	0	0	0	0	0
GM14681	0	0	0	0	0	0	0	0
GM20039	0	0	0	0	0	0	0	0
GM4541	0	0	0	0	0	0	0	0
GM10925	0	0	0	0	0	0	0	0
DLX6OS2	0	0	0	0	0	0	0	0
GM5058	0	0	0	0	0	0	0	0
SCGB2B16-PS	0	0	0	0	0	0	0	0
GM8188	0	0	0	0	0	0	0	0
CT030652.1	0	0	0	0	0	0	0	0
GM48070	0	0	0	0	0	0	0	0
HSPD1-PS2	0	0	0	0	0	0	0	0
GM28237	0	0	0	0	0	0	0	0
GM44090	0	0	0	0	0	0	0	0
GM1966	0	0	0	5.25864	3.56019	136.185	18.7363	0
GM24926	0	0	0	0	0	0	0	0
GM11473	0	0	0	0	0	0	0	0
GM20395	0	0	0	0	0	0	0	0
VMN1R223	93.8322	0	21.9747	0	0	0	0	0
GM42480	0	0	0	0	0	0	0	0
GM5395	0	0	0	0	0	0	0	0
GM27366	0	0	0	0	0	0	0	0
GM29129	0	0	0	0	0	0	0	0
ANP32-PS	0	0	0	0	0	0	0	0
GM29064	0	0	0	0	0	0	0	0
SYCN	0	0	0	0	0	0	0	0
GM21782	0	0	0	0	0	0	0	0
RPL19-PS12	0	9.47938	0	0	0	0	0	0
GM48116	0	0	0	0	0	0	0	0
GM43275	0	0	0.0915909	0	0	0	0	0
GAL3ST2C	7.15311	0	1.67591	0.320267	0	0	0	0
GM8358	0	0	0	0	0	0	0	0
GM45543	0	0	0	0	0	0	0	0
GM18160	0	0	0	0	0	0	0	0
GM14314	0	0	0	0	0	0	0	0
GM38332	0	0	0	0	0	0	0	0
GM8244	0	0	0	0	0	0	0	4.24913
GM28293	0	0	0	0	0	0	0	0
GM45542	0	0	0	0	0	0	0	0
GM48585	0	0	0	0	0	0	0	0
GM18403	0	0	0	0	0	0	0	0
GM16166	0	0	0	0	53.4235	0	15.6303	0.958161
KRT17	0	0	0	0	0	0	0	0
CLDN34C3	0	0	0	0	0	0	0	0
GM45193	0	0	0	0	0	0	0	0
GM7745	0	0	0	0	0	0.217959	0	0
GM48261	0	0	0	3.25237	0	0	0	4.41187
GM47871	0	0	0	0	0	0	0	0
OLFR1070-PS1	0	0	0	0	0	0	0	0
GM14834	0	0	0	0	0	0	0.519521	0.11954
GM15806	0	0	0	0	0	0	0	0
GM43580	0	0	0	0	0	0	0	0
GM26936	0	0	0	0	0	0	0	0
GM26988	0	0	0	0	0	0	0	0
GM5252	0	0	0	0	0	0	0	0
GM37700	0	0	0	0	0	0	0	0
GM44264	0	0	0	0	0	0	0	0
GM44478	0	0	0	0	0	0	0	0
GM37000	0	0	0	0	0	0	0	0
GM37176	0	0	0	4.1969	0	0	0	0
GM21909	0	0	0	0	0	0	0	0
GM2142	0	0	0	0	0	0	0	0
GM28663	0	0	0	0	0	0	0	0
GM17421	12.6557	0	1.08914	0	5.54665	0	0	1.63841
GM48502	0	0	36.6537	0	0	0	92.4051	92.6522
GM12125	0	0	0	0	0	0	0	0
GM29190	33.7968	42.1195	13.7764	14.536	1.77932	0	36.8579	18.7205
GM20208	0	0	0	0	0	0	0	0
RPL30-PS9	0	0	0	0	0	0	0	0
GM15027	0	0	0	0	0	0	0	0
GM15644	0	0	0	0	0	0	0	0
GM14509	0	0	0	0	0	0	0	0
GM42706	0	0	0	0	0	0	0	0
GM12855	42.4494	0	7.44552	0	0	0	0	0
GM48662	0	0	0	0	0	0	0	0
GM12687	0	0	0	0	0	0	0	0
AC159103.1	14.8938	0	0	0	0	0	9.80446	2.56953
9430007M09RIK	0	0	0.0390729	0	0	0	0	0
GM29323	0	0	0	0	0	0	0	0
GM28568	0	0	0	0	0	0	0	0
MMP20	0	0	0.551149	0	0	0	0.980684	0.660155
GM44393	0	0	0.0187805	0	0	0	0	0
GM26920	0	0	0	0	0	0	0	0
GM15004	0	0	0	0	0	0	0	0
GM20814	0	0	0	0	0	0	0	0
LPPOS	0	0	0.0196861	0	0	0.0962782	0	0.103995
GM48099	0	0	0	0	0	0	0	0
GM47421	0	0	0	0	0	0	0	0
GM15227	3.07299	0	0	0	0	0	0	0
GM11891	26.8777	0	0	0	0	0	0	0
GM5905	0	0	0	0	0	0	0.0585262	0
GM27486	0	0	0	0	0	0	0	0
GM28955	0	0	0	0	0	0	0	0
GM28312	0	0	0	0	0	0	0	0
GM15032	0	0	0	0	0	0	0	0
GM47092	0	0	0	0	0	0	0	0
FOXD3	0	0	0	0	0	0	0	0
GM47842	0	0	0	0	0	0	0	0
GM20675	0	0.578556	4.74456e-06	0	0	0	49.1467	21.8625
GM47652	0	0	0	24.4718	52.5136	0	0	0
GM12873	0	0	0	0	0	0	0	0
GM48887	0	0	0	0	0	0	0	0
AC109138.7	0	0	0	0	0	0	0	0
GM4012	0	0	0	0	0	0	0	0
GM48783	0	0	0	0	0	0	0	0
GM17872	0	0	0	7.97968	0	0	0	0
F2R	0	0	0	0.0134952	0	0.0673945	0.901614	0.603618
A130048G24RIK	0	0	0.805435	0	0	4.3353	0	0
AC114572.1	0	0	0	0	0	0	0	0
4930540M05RIK	0	0	0	0	0	0	0	0
GM28547	0	0	0	0	0	0	0	0
GM5702	0	0	0	0	0	0	0	0
GM28505	0	0	0	0	0	0	0	0
GM48686	0	0	43.9171	0	0	0	0	10.092
TPD52-PS	0.0403849	0	0	0	0	0	0	0
OLFR1397-PS1	0	0	0	0	0	0	0	0
GM44114	0	0	0	0	0	0	0	0
AC150560.1	0	0	0	0	0	0	0	0
GM47763	0	0	0	0	0	0	0	0
GM45740	1.08917	1.28078	34.45	131.809	1.07916	4.39634	23.2978	6.88999
GM45596	0	0	0	0	0	0	0	0
GM47273	0	0	0	0	0	0	0	0
GM5735	0	0	0	0	0	0	0	0
A830019P07RIK	0	0	0	0	0	0	0	0
2310003N18RIK	0	0	0	0	0	0	0	0
AL589670.3	0	0	0	0	0	0	0	0
AC117197.1	0	0	0	0.0333802	0	0	0	2.30599
GM47145	0	0	0	0	0	0	0	0
AC122494.1	0	0	0	0	0	0	0	0
